Date,Open,Close,Return Close day vs Close previous day
"May 11, 2022","3,990.08","3,935.18",-1.65%
"May 10, 2022","4,035.18","4,001.05",0.25%
"May 09, 2022","4,081.27","3,991.24",-3.20%
"May 06, 2022","4,128.17","4,123.34",-0.57%
"May 05, 2022","4,270.43","4,146.87",-3.56%
"May 04, 2022","4,181.18","4,300.17",2.99%
"May 03, 2022","4,159.78","4,175.48",0.48%
"May 02, 2022","4,130.61","4,155.38",0.57%
"Apr 29, 2022","4,253.75","4,131.93",-3.63%
"Apr 28, 2022","4,222.58","4,287.50",2.47%
"Apr 27, 2022","4,186.52","4,183.96",0.21%
"Apr 26, 2022","4,278.14","4,175.20",-2.81%
"Apr 25, 2022","4,255.34","4,296.12",0.57%
"Apr 22, 2022","4,385.83","4,271.78",-2.77%
"Apr 21, 2022","4,489.17","4,393.66",-1.48%
"Apr 20, 2022","4,472.26","4,459.45",-0.06%
"Apr 19, 2022","4,390.63","4,462.21",1.61%
"Apr 18, 2022","4,385.63","4,391.69",-0.02%
"Apr 14, 2022","4,449.12","4,392.59",-1.21%
"Apr 13, 2022","4,394.30","4,446.59",1.12%
"Apr 12, 2022","4,437.59","4,397.45",-0.34%
"Apr 11, 2022","4,462.64","4,412.53",-1.69%
"Apr 08, 2022","4,494.15","4,488.28",-0.27%
"Apr 07, 2022","4,474.65","4,500.21",0.43%
"Apr 06, 2022","4,494.17","4,481.15",-0.97%
"Apr 05, 2022","4,572.45","4,525.12",-1.26%
"Apr 04, 2022","4,547.97","4,582.64",0.81%
"Apr 01, 2022","4,540.32","4,545.86",0.34%
"Mar 31, 2022","4,599.02","4,530.41",-1.57%
"Mar 30, 2022","4,624.20","4,602.45",-0.63%
"Mar 29, 2022","4,602.86","4,631.60",1.23%
"Mar 28, 2022","4,541.09","4,575.52",0.71%
"Mar 25, 2022","4,522.91","4,543.06",0.51%
"Mar 24, 2022","4,469.98","4,520.16",1.43%
"Mar 23, 2022","4,493.10","4,456.24",-1.23%
"Mar 22, 2022","4,469.10","4,511.61",1.13%
"Mar 21, 2022","4,462.40","4,461.18",-0.04%
"Mar 18, 2022","4,407.34","4,463.12",1.17%
"Mar 17, 2022","4,345.11","4,411.67",1.23%
"Mar 16, 2022","4,288.14","4,357.86",2.24%
"Mar 15, 2022","4,188.82","4,262.45",2.14%
"Mar 14, 2022","4,202.75","4,173.11",-0.74%
"Mar 11, 2022","4,279.50","4,204.31",-1.30%
"Mar 10, 2022","4,252.55","4,259.52",-0.43%
"Mar 09, 2022","4,223.10","4,277.88",2.57%
"Mar 08, 2022","4,202.66","4,170.70",-0.72%
"Mar 07, 2022","4,327.01","4,201.09",-2.95%
"Mar 04, 2022","4,342.12","4,328.87",-0.79%
"Mar 03, 2022","4,401.31","4,363.49",-0.53%
"Mar 02, 2022","4,322.56","4,386.54",1.86%
"Mar 01, 2022","4,363.14","4,306.26",-1.55%
"Feb 28, 2022","4,354.17","4,373.94",-0.24%
"Feb 25, 2022","4,298.38","4,384.65",2.24%
"Feb 24, 2022","4,155.77","4,288.70",1.50%
"Feb 23, 2022","4,324.93","4,225.50",-1.84%
"Feb 22, 2022","4,332.74","4,304.76",-1.01%
